Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB110622158|70.401|0.773|5.4266e-05|1.5389e-07|1.094829e+02|1.683060e+00|1.683060e+00|-1.077737e+00|1.662028e-02|1.662028e-02|1.000000e+02|0.000000e+00|0.000000e+00|4.650880e-07|3.815973e-09|
|GRB130509839|31.488|2.673|1.5157e-06|2.0810e-08|3.012027e+01|7.065655e+00|7.065655e+00|-5.000000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|4.868844e-08|1.042915e-08|
|GRB081130212|2.240|1.002|2.6396e-07|2.0468e-08|3.156919e+01|5.476061e+00|5.476061e+00|3.974525e-01|1.561237e+00|1.561237e+00|1.000000e+02|0.000000e+00|0.000000e+00|6.011078e-08|1.195132e-08|
|GRB141122875|30.720|7.245|4.0273e-06|1.6895e-07|3.375309e+01|2.185841e+00|2.185841e+00|3.674256e-01|5.421910e-01|5.421910e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.640368e-07|1.224205e-08|
|GRB150216415|33.792|2.919|2.2936e-06|3.8839e-08|4.654000e+01|5.874561e+00|5.874561e+00|1.458845e+00|1.192676e+00|1.192676e+00|1.000000e+02|0.000000e+00|0.000000e+00|8.716798e-08|1.256140e-08|
|GRB160125368|16.896|2.673|1.2112e-06|3.0192e-08|2.204064e+01|1.754857e+00|1.754857e+00|-5.000000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|2.045334e-07|1.293938e-08|
|GRB100707032|81.793|1.218|8.7720e-05|1.5554e-07|2.977311e+02|8.139618e+00|8.139618e+00|-8.975922e-01|1.524877e-02|1.524877e-02|1.000000e+02|0.000000e+00|0.000000e+00|9.668568e-07|1.300747e-08|
|GRB110825265|48.128|1.493|2.0912e-06|2.4350e-08|9.639356e+01|1.125149e+01|1.125149e+01|-3.935792e-01|3.079004e-01|3.079004e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.155888e-07|1.303989e-08|
|GRB090820509|15.296|4.610|1.3413e-06|3.8061e-08|3.203268e+01|2.560589e+00|2.560589e+00|-7.746606e-01|3.179754e-01|3.179754e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.414393e-07|1.407989e-08|
|GRB140929677|37.120|4.048|1.8724e-06|4.8656e-08|5.407379e+01|6.718395e+00|6.718395e+00|6.216515e-01|9.736568e-01|9.736568e-01|1.000000e+02|0.000000e+00|0.000000e+00|9.793518e-08|1.478174e-08|
|GRB090824918|59.905|10.014|3.6502e-06|7.5117e-08|4.007687e+01|3.739407e+00|3.739407e+00|6.624588e-01|8.615403e-01|8.615403e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.376730e-07|1.583711e-08|
|GRB101224578|44.737|0.889|3.8918e-06|2.2306e-08|3.737441e+01|3.786068e+00|3.786068e+00|-9.940185e-01|3.084548e-01|3.084548e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.093519e-07|1.599485e-08|
|GRB101101744|3.328|2.862|6.5004e-07|2.2784e-08|3.750787e+01|1.944984e+00|1.944984e+00|-2.115761e-01|2.856879e-01|2.856879e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.252659e-07|1.618469e-08|
