Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
name|t90|t90_error|t90_start|fluence|fluence_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_band_epeak|pflx_band_epeak_pos_err|pflx_band_epeak_neg_err|pflx_band_alpha|pflx_band_alpha_pos_err|pflx_band_alpha_neg_err|pflx_band_beta|pflx_band_beta_pos_err|pflx_band_beta_neg_err|flnc_comp_epeak|flnc_comp_epeak_pos_err|flnc_comp_epeak_neg_err|flnc_comp_index|flnc_comp_index_pos_err|flnc_comp_index_neg_err|flnc_comp_pivot|flnc_comp_pivot_pos_err|flnc_comp_pivot_neg_err
GRB171213061|111.616|6.676|-58.368|1.3198e-05|1.3366e-07|1.351921e-02|1.172640e+01|1.172640e+01|5.253091e+00|2.340995e+03|2.340995e+03|-1.791140e+00|2.514134e+02|2.514134e+02|-2.148676e+00|9.223509e-02|9.223509e-02|6.244669e+00|1.386980e+01|1.386980e+01|-1.993000e+00|3.480155e-20|3.480155e-20|1.000000e+02|0.000000e+00|0.000000e+00|1.025977e+01|5.182890e+02|5.182890e+02|-1.780100e+00|4.176566e+01|4.176566e+01|-2.139214e+00|2.228318e+00|2.228318e+00|2.025016e+01|4.156398e+01|4.156398e+01|-1.993000e+00|1.862692e-10|1.862692e-10|1.000000e+02|0.000000e+00|0.000000e+00
GRB130925164|6.400|2.429|-3.840|6.3406e-07|2.7480e-08|6.283061e+00|9.409772e+01|9.409772e+01|1.525761e+01|3.702742e+00|3.702742e+00|7.098026e-01|4.987541e+00|4.987541e+00|-2.399212e+00|1.354885e-01|1.354885e-01|1.400087e+01|2.015823e+01|2.015823e+01|-1.794868e+00|4.750904e-01|4.750904e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.509937e+01|5.300680e+00|5.300680e+00|8.826691e-01|8.422412e+00|8.422412e+00|-2.470249e+00|2.416057e-01|2.416057e-01|2.375197e+01|2.542686e+00|2.542686e+00|-6.930000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00
GRB090621185|106.754|14.373|-2.560|1.0840e-05|2.1134e-07|1.378431e-02|2.692928e-03|2.692928e-03|5.596625e+01|3.159992e+00|3.159992e+00|-9.980700e-01|1.008974e-01|1.008974e-01|-2.539000e+00|0.000000e+00|0.000000e+00|1.576476e+01|4.891700e+01|4.891700e+01|-1.857988e+00|6.984343e-01|6.984343e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.829504e+01|1.011647e+01|1.011647e+01|-1.177326e+00|2.911914e+00|2.911914e+00|-2.539000e+00|0.000000e+00|0.000000e+00|6.954228e+01|2.719147e+00|2.719147e+00|-1.157301e+00|5.633080e-02|5.633080e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB081124060|19.456|1.086|0.512|8.5897e-06|7.9771e-08|1.554138e-02|9.657778e-04|9.657778e-04|1.114437e+00|8.311405e-01|8.311405e-01|-1.977372e+00|7.371664e-01|7.371664e-01|-2.722019e+00|6.369686e-02|6.369686e-02|2.177152e+01|9.801025e-01|9.801025e-01|-6.676000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|2.728400e+00|1.194196e+01|1.194196e+01|-1.947820e+00|1.022381e+02|1.022381e+02|-2.720540e+00|1.886323e-01|1.886323e-01|1.948783e+01|3.764858e-01|3.764858e-01|-6.676000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00
GRB160125368|16.896|2.673|-1.536|1.2112e-06|3.0192e-08|2.580087e-01|1.475889e-01|1.475889e-01|1.402140e+01|5.500408e+00|5.500408e+00|-5.000000e-01|0.000000e+00|0.000000e+00|-2.000000e+00|0.000000e+00|0.000000e+00|2.204064e+01|1.754857e+00|1.754857e+00|-5.000000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|1.327540e+01|8.785606e+00|8.785606e+00|-1.235350e+00|3.564711e+00|3.564711e+00|-2.384853e+00|1.339693e-01|1.339693e-01|2.414128e+01|1.999966e+00|1.999966e+00|-5.000000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00
GRB150101641|0.080|0.928|-0.016|2.3809e-07|1.5091e-08|3.794653e+01|4.911880e+02|4.911880e+02|2.867209e+01|6.736593e+00|6.736593e+00|1.658856e+00|1.991824e+00|1.991824e+00|-1.941685e+00|1.778395e-01|1.778395e-01|2.572617e+01|4.442585e+00|4.442585e+00|-2.274403e-01|1.172174e+00|1.172174e+00|1.000000e+02|0.000000e+00|0.000000e+00|2.270208e+01|3.731771e+00|3.731771e+00|2.540917e+00|1.487899e+00|1.487899e+00|-3.639349e+00|1.037429e+00|1.037429e+00|1.251069e+02|4.856546e+01|4.856546e+01|-1.362770e+00|3.462309e-01|3.462309e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB180201780|0.640|0.547|-0.576|1.2710e-07|1.8577e-08|9.766596e-02|1.816162e-02|1.816162e-02|4.079680e+02|3.036597e+02|3.036597e+02|-1.721982e+00|2.261139e-01|2.261139e-01|-2.229163e+00|6.452713e-01|6.452713e-01|2.747770e+01|1.366495e+02|1.366495e+02|-1.901872e+00|6.036993e-01|6.036993e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.844794e+01|1.398149e+02|1.398149e+02|-1.901610e+00|6.031750e-01|6.031750e-01|-1.293138e+01|6.569750e+06|6.569750e+06|4.069772e+02|2.437944e+02|2.437944e+02|-1.664496e+00|2.802772e-01|2.802772e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB130509839|31.488|2.673|-4.864|1.5157e-06|2.0810e-08|3.026006e-03|7.557406e-04|7.557406e-04|1.184194e+02|2.749748e+01|2.749748e+01|-1.297459e+00|1.741465e-01|1.741465e-01|-3.277098e+00|7.274854e+00|7.274854e+00|3.012027e+01|7.065655e+00|7.065655e+00|-5.000000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|3.167559e+01|9.964537e+00|9.964537e+00|-8.106621e-01|1.350082e+00|1.350082e+00|-5.169602e+00|4.189642e+01|4.189642e+01|1.144507e+02|2.275069e+01|2.275069e+01|-1.281556e+00|2.085081e-01|2.085081e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB081130212|2.240|1.002|-0.064|2.6396e-07|2.0468e-08|9.057584e-01|6.705188e-01|6.705188e-01|2.726792e+01|3.007189e+00|3.007189e+00|6.159397e-01|8.602604e-01|8.602604e-01|-3.824229e+00|1.513640e+00|1.513640e+00|3.156919e+01|5.476061e+00|5.476061e+00|3.974525e-01|1.561237e+00|1.561237e+00|1.000000e+02|0.000000e+00|0.000000e+00|2.509822e+01|1.635118e+01|1.635118e+01|8.110474e-01|1.735381e+00|1.735381e+00|-2.312033e+00|1.074524e+00|1.074524e+00|2.774104e+01|2.772327e+00|2.772327e+00|4.525602e-01|9.404118e-01|9.404118e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB090820509|15.296|4.610|-0.128|1.3413e-06|3.8061e-08|3.440645e-02|1.905912e-02|1.905912e-02|3.276804e+01|5.393534e+00|5.393534e+00|-8.161254e-01|3.459692e-01|3.459692e-01|-2.480618e+00|2.058840e-01|2.058840e-01|3.203268e+01|2.560589e+00|2.560589e+00|-7.746606e-01|3.179754e-01|3.179754e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.213091e+01|2.665611e+00|2.665611e+00|-8.021320e-01|2.588245e-01|2.588245e-01|-5.326184e+00|1.023504e+01|1.023504e+01|4.072351e+01|3.463429e+00|3.463429e+00|-1.331065e+00|1.734968e-01|1.734968e-01|1.000000e+02|0.000000e+00|0.000000e+00
